ABACAVIR 300MG,715347,ADCO-ABACAVIR 300MG TAB,60,"R 1,068.31"
ABACAVIR 300MG,715063,ASPEN ABACAVIR 300MG TAB,60,"R 1,068.31"
ABACAVIR 300MG,720837,BAVIR 300MG TAB,60,"R 1,068.31"
ABACAVIR 300MG,714098,CIPLA-ABACAVIR 300MG TAB,60,"R 1,068.31"
ABACAVIR 300MG,715493,INVERTRON 300MG TAB,60,"R 1,068.31"
ABACAVIR 300MG,3001229,KAVIMUN,60,"R 1,068.31"
ABACAVIR 300MG,715012,SONKE-ABACAVIR 300MG TAB,60,"R 1,068.31"
ABACAVIR 300MG,898531,ZIAGEN 300MG TAB,60,"R 1,068.31"
ABACAVIR SOLUTION,720866,ADCO ABACAVIR,240,R 426.67
ABACAVIR SOLUTION,713758,ASPEN ABACAVIR 100MG/5ML SLN,240,R 426.67
ABACAVIR SOLUTION,720838,BAVIR 20MG/1ML SOL,240,R 426.67
ABACAVIR SOLUTION,714099,CIPLA-ABACAVIR 100MG/5ML SYR,240,R 426.67
ABACAVIR SOLUTION,715494,INVERTRON 100MG/5ML SYR,240,R 426.67
ABACAVIR SOLUTION,898538,ZIAGEN 100MG/5ML SYR,240,R 426.67
ACETAZOLAMIDE,789771,AZOMID 250MG TAB,100,R 162.80
ACETAZOLAMIDE,719471,DIAMOX 250MG TAB,100,R 162.80
ACETYLCYSTEINE,824291,ACC 200MG,25,R 79.94
ACETYLCYSTEINE,716267,AMUCO 200MG,25,R 79.94
ACETYLCYSTEINE,3000064,AMUCO OTC 200MG,25,R 79.94
ACETYLCYSTEINE,719848,LITHAFIZZ 200MG,25,R 79.94
ACETYLCYSTEINE,718049,MUCATAK 200MG,25,R 79.94
ACYCLOVIR 200MG,717370,ACICLOVIR SANDOZ 200MG TAB,25,R 72.28
ACYCLOVIR 200MG,719670,ACYCLOVIR BIOTECH 200MG TAB,25,R 72.28
ACYCLOVIR 200MG,827282,ADCO-ACYCLOVIR 200MG TAB,25,R 72.28
ACYCLOVIR 200MG,717157,APEX-ACYCLOVIR 200MG TAB,25,R 72.28
ACYCLOVIR 200MG,824313,CYCLIVEX 200 MG TAB,25,R 72.28
ACYCLOVIR 200MG DSP,704778,ACITAB-200 DT,25,R 82.23
ACYCLOVIR 200MG DSP,838225,LOVIRE 200MG DSP,25,R 82.23
ACYCLOVIR 200MG DSP,833703,ZOVIRAX 200 DISP 200MG DSP,25,R 82.23
ACYCLOVIR 400MG,717371,ACICLOVIR SANDOZ  400MG TAB,70,R 343.99
ACYCLOVIR 400MG,717158,APEX-ACYCLOVIR 400MG TAB,70,R 343.99
ACYCLOVIR 400MG,860581,CYCLIVEX 400MG TAB,70,R 343.99
ACYCLOVIR 400MG DSP,704779,ACITAB-400 DT,60,R 338.65
ACYCLOVIR 400MG DSP,838233,LOVIRE 400MG DSP,60,R 338.65
ACYCLOVIR CRM,873551,ACITOP  CRE,2,R 28.14
ACYCLOVIR CRM,823473,ACTIVIR 2G  PUMP  PA 5% CRE,2,R 28.14
ACYCLOVIR CRM,824674,ADCO-ACYCLOVIR  CRE,2,R 28.14
ACYCLOVIR CRM,713942,BETA-VIRA CRE,2,R 28.14
ACYCLOVIR CRM,701035,LOVIRE CRE,2,R 28.14
ACYCLOVIR CRM,826340,ZOVIRAX  CRE,2,R 28.14
ADAPALENE,721707,DAPTA 1MG/1G CRE,30,R 192.63
ADAPALENE,721708,DAPTA 1MG/1G JEL,30,R 192.63
ADAPALENE,720276,DERIVA GEL 1MG/1G,30,R 192.63
ADAPALENE,827215,DIFFERIN GEL 1MG/1G,30,R 192.63
ALENDRONIC ACID 10MG,817341,FOSAMAX 10MG TAB,28,R 234.80
ALENDRONIC ACID 10MG,715712,OSTENA 10MG TAB,28,R 234.80
ALENDRONIC ACID 70MG,715855,ACCORD ALENDRONATE 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,719397,ALENDRONATE UNICORN 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,712479,BONIRAN 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,720516,DENSATE 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,718742,FEMAX 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,706339,FOSAGEN70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,897302,FOSAMAX ONCE WEEKLY 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,715713,OSTENA 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,705067,OSTEOBON-70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,715987,OSTEONATE 70MG TAB,4,R 236.76
ALENDRONIC ACID 70MG,709760,SANDOZ ALENDRONATE 70MG TAB,4,R 236.76
ALFUZOSIN,716113,ALFUWIN XL 10MG,30,R 396.06
ALFUZOSIN,715829,RANTRAL MR 10MG,30,R 396.06
ALFUZOSIN,701590,XATRAL XL 10MG,30,R 396.06
ALLOPURINOL 100MG,721623,AUSTELL ALLOPURINOL 100MG TAB,100,R 90.21
ALLOPURINOL 100MG,758310,PURICOS 100MG TAB,100,R 90.21
ALLOPURINOL 100MG,738778,SANDOZ ALLOPURINOL 100MG TAB,100,R 90.21
ALLOPURINOL 100MG,779466,ZYLOPRIM 100MG TAB,100,R 90.21
ALLOPURINOL 300MG,719128,ADCO ALLOPURINOL 300MG TAB,250,R 622.57
ALLOPURINOL 300MG,721624,AUSTELL ALLOPURINOL 300MG TAB,250,R 622.57
ALLOPURINOL 300MG,811432,LONOL 300MG TAB,250,R 622.57
ALLOPURINOL 300MG,758329,PURICOS 300MG TAB,250,R 622.57
ALLOPURINOL 300MG,738786,SANDOZ ALLOPURINOL 300MG TAB,250,R 622.57
ALLOPURINOL 300MG,779474,ZYLOPRIM CALENDAR PK 300MG TAB,250,R 622.57
ALPRAZOLAM 0.25MG,821071,ALZAM 0.25MG TAB,100,R 86.04
ALPRAZOLAM 0.25MG,823244,AZOR 0.25 MG TAB,100,R 86.04
ALPRAZOLAM 0.25MG,897929,CPL ALLIANCE ALPRAZOLAM,100,R 86.04
ALPRAZOLAM 0.25MG,897965,MYLAN ALPRAZOLAM  TAB,100,R 86.04
ALPRAZOLAM 0.25MG,778702,XANOR 0.25MG TAB,100,R 86.04
ALPRAZOLAM 0.25MG,826685,ZOPAX 0.25MG TAB,100,R 86.04
ALPRAZOLAM 0.5MG,821098,ALZAM 0.5MG TAB,100,R 120.86
ALPRAZOLAM 0.5MG,823252,AZOR 0.5 MG TAB,100,R 120.86
ALPRAZOLAM 0.5MG,897930,CPL ALLIANCE ALPRAZOLAM,100,R 120.86
ALPRAZOLAM 0.5MG,895173,MYLAN ALPRAZOLAM  TAB,100,R 120.86
ALPRAZOLAM 0.5MG,778710,XANOR 0.5MG TAB,100,R 120.86
ALPRAZOLAM 0.5MG,826693,ZOPAX 0.5 MG TAB,100,R 120.86
ALPRAZOLAM 1MG,821101,ALZAM 1.0MG TAB,30,R 66.85
ALPRAZOLAM 1MG,823260,AZOR 1 MG TAB,30,R 66.85
ALPRAZOLAM 1MG,897968,MYLAN ALPRAZOLAM  TAB,30,R 66.85
ALPRAZOLAM 1MG,778729,XANOR 1MG TAB,30,R 66.85
ALPRAZOLAM 1MG,826707,ZOPAX 1 MG TAB,30,R 66.85
AMANTADINE,700500,SYMADIN (WAS FLUSTOP),20,R 76.97
AMANTADINE,768243,SYMMETREL 100MG CAP,20,R 76.97
AMETHOCAINE,799211,AMETHOCAINE  CRE,25,R 27.75
AMETHOCAINE,703591,ANETHAINE  CRE,25,R 27.75
AMILORIDE PLUS HYDROCHL,780618,ADCO-RETIC  TAB,100,R 39.49
AMILORIDE PLUS HYDROCHL,702803,AMILORETIC  TAB,100,R 39.49
AMILORIDE PLUS HYDROCHL,808695,BETARETIC  TAB,100,R 39.49
AMILORIDE PLUS HYDROCHL,719984,DEZRETIC 5MG/50MG,100,R 39.49
AMILORIDE PLUS HYDROCHL,744379,MODURETIC 5/50MG TAB,100,R 39.49
AMILORIDE PLUS HYDROCHL,706531,SPEC-CO-AMILORIDE 5/50MG TAB,100,R 39.49
AMIODARONE 100MG,703515,ARYCOR 100MG,30,R 263.61
AMIODARONE 100MG,800554,CORDARONE X 100MG,30,R 263.61
AMIODARONE 100MG,863157,HEXARONE 100MG,30,R 263.61
AMIODARONE 200MG,703513,ARYCOR 200MG,30,R 460.42
AMIODARONE 200MG,707851,BIO-AMIODARONE 200MG,30,R 460.42
AMIODARONE 200MG,716111,CORDARONE X 200MG,30,R 460.42
AMIODARONE 200MG,863165,HEXARONE 200MG,30,R 460.42
AMITRIPTYLINE 25MG,718746,GULF AMITRIPTYLINE 25MG TAB,500,R 600.79
AMITRIPTYLINE 25MG,784230,SANDOZ-AMITRIPTYLINE  25MG TAB,500,R 600.79
AMITRIPTYLINE 25MG,771996,TREPILINE 25MG TAB,500,R 600.79
AMLODIPINE 10MG,720694,ADCO NORPENE 10MG TAB,30,R 125.30
AMLODIPINE 10MG,708142,ALMADIN 10MG TAB,30,R 125.30
AMLODIPINE 10MG,707278,AMLATE 10MG TAB,30,R 125.30
AMLODIPINE 10MG,703917,AMLOC 10MG TAB,30,R 125.30
AMLODIPINE 10MG,708051,AMLODAC 10MG TAB,30,R 125.30
